"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WESD"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-19","6.71","0.01","69","73","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-20","9.84","0.00","72","83","61","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-21","17.90","0.08","71","76","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-22","12.75","0.03",,"82","70","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-23","9.84","0.00","76","84","67","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-24","9.40","0.00","73","81","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-25","15.88","0.00","74","79","68","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-26","11.86","0.00","75","82","68","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-27","11.18","0.01","79","88","70","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-28","6.93","0.04","73","78","67","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-29","6.26","0.00","69","72","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-30","10.96","0.00","73","81","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-01","8.72","0.00","72","80","63","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-02","10.51","0.00","76","86","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-03","10.07","0.27","75","81","68","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-04","8.50","0.01","75","81","69","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-05","10.96","0.00","80","89","71","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-06","8.28","0.00","71","79","63","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-07","13.87","0.00","72","81","63","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-08","9.40","0.00","70","80","60","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-09","14.09","0.00","72","79","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-10","14.09","0.08","82","93","70","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-11","10.96","0.00","76","83","68","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-12","9.62","0.00","74","82","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-13","11.41","0.00","74","83","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-14","10.07","0.08","73","80","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-15","13.42","1.42","69","71","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-16","6.71","0.00","72","78","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-17","7.38","0.01","73","79","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-18","14.09","0.00","80","91","69","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-19","5.37","0.13","67","72","62","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-20","9.17","0.00","70","77","62","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-21","12.53","0.00","71","79","62","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-22","11.41","0.00","75","84","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-23","7.61","0.00","71","78","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-24","6.49","0.01","72","78","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-25","8.95","0.01","70","74","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-26","12.53","3.11","67","70","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-27","9.62","0.31","68","71","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-28","6.93","0.02","70","75","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-29","5.82","0.00","69","73","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-30","7.83","0.00","73","78","67","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-07-31","7.38","0.04","74","80","67","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-01","7.16","0.39","71","76","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-02","9.40","0.18","76","82","70","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-03","9.62","0.73","76","81","71","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-04","7.38","0.08","76","80","71","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-05","8.05","0.00","73","81","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-06","11.41","0.00","71","77","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-07","11.41","0.00","82","91","73","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-08","11.41","0.00","83","90","75","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-09","10.29","0.00","81","87","75","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-10","9.17","0.00","80","86","73","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-11","7.16","0.24","75","82","68","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-12","10.29","1.32","70","73","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-13","13.87","0.02","68","71","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-14","10.74","0.23","66","68","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-15","9.40","0.01","73","81","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-16","14.54","0.01","78","86","70","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-17","11.41","0.00","71","77","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-18","5.82","0.18","70","70","63","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-19","9.40","0.00","69","77","61","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-20","8.50","0.00","68","74","61","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-21","6.49","0.00","67","76","57","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-22","10.29","0.00","69","76","61","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-23","14.09","0.01","69","74","64","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-24","4.03","0.00","74","82","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-25","6.93","0.00","74","81","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-26","7.16","0.00","72","81","63","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-27","8.72","0.00","72","79","65","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-28","8.50","0.00","75","80","70","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-29","12.53","0.00","73","77","68","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-30","7.38","0.00","74","81","67","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-08-31","8.05","0.00","77","83","71","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-09-01","6.71","0.14","78","82","73","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-09-02","8.05","0.00","78","82","73","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-09-03","7.16","0.00","79","84","73","0.0"
